lat,speed_mps,timestamp_gmt_ms,lon,hr,time_s,elapsed_s,moving_s,elev_m,body_battery,dist_m,vert_mps,timestamp_utc
50.62633255496621,4.833000183105469,1753540098000.0,1.8286907114088535,127.0,3545.0,3545.0,3166.0,120.5999984741211,64.0,9615.5,0.13300000131130219,2025-07-26 14:28:18+00:00
50.626248735934496,4.804999828338623,1753540100000.0,1.828669337555766,123.0,3547.0,3547.0,3168.0,120.19999694824219,64.0,9624.7802734375,-0.20000000298023224,2025-07-26 14:28:20+00:00
50.62611957080662,4.7210001945495605,1753540103000.0,1.8286398332566023,123.0,3550.0,3550.0,3171.0,119.5999984741211,64.0,9639.080078125,-0.20000000298023224,2025-07-26 14:28:23+00:00
50.626036673784256,4.451000213623047,1753540105000.0,1.8286202196031809,123.0,3552.0,3552.0,3173.0,118.5999984741211,64.0,9648.599609375,-0.5,2025-07-26 14:28:25+00:00
50.6257960293442,4.468999862670898,1753540111000.0,1.8285742029547691,124.0,3558.0,3558.0,3179.0,118.19999694824219,64.0,9675.6904296875,-0.06700000166893005,2025-07-26 14:28:31+00:00
50.625513726845384,4.63700008392334,1753540118000.0,1.8285431899130344,123.0,3565.0,3565.0,3186.0,117.19999694824219,64.0,9707.25,-0.14300000667572021,2025-07-26 14:28:38+00:00
50.625473745167255,4.506999969482422,1753540119000.0,1.8285470455884933,123.0,3566.0,3566.0,3187.0,117.0,64.0,9711.6298828125,-0.20000000298023224,2025-07-26 14:28:39+00:00
50.62535095028579,4.534999847412109,1753540122000.0,1.8285588640719652,125.0,3569.0,3569.0,3190.0,116.19999694824219,64.0,9725.1796875,-0.2669999897480011,2025-07-26 14:28:42+00:00
50.62523226253688,4.61899995803833,1753540125000.0,1.8285738676786423,128.0,3572.0,3572.0,3193.0,115.80000305175781,64.0,9738.4501953125,-0.13300000131130219,2025-07-26 14:28:45+00:00
50.62519194558263,4.515999794006348,1753540126000.0,1.8285796511918306,130.0,3573.0,3573.0,3194.0,115.80000305175781,64.0,9742.83984375,0.0,2025-07-26 14:28:46+00:00
50.62511055730283,4.497000217437744,1753540128000.0,1.8285915534943342,131.0,3575.0,3575.0,3196.0,115.19999694824219,64.0,9751.830078125,-0.30000001192092896,2025-07-26 14:28:48+00:00
50.624912241473794,4.739999771118164,1753540133000.0,1.8286324571818113,131.0,3580.0,3580.0,3201.0,114.80000305175781,64.0,9774.169921875,-0.07999999821186066,2025-07-26 14:28:53+00:00
